iter	Logloss
0	0.4325742564
1	0.3552315571
2	0.3346279248
3	0.323944089
4	0.3198237757
5	0.3182997211
6	0.3176021206
7	0.3171063509
8	0.316506536
9	0.3159024031
10	0.3155785685
11	0.3148678215
12	0.3144607896
13	0.3142649206
14	0.3140953027
15	0.3140398018
16	0.3137945298
17	0.3137232578
18	0.3136237264
19	0.313564932
20	0.3135089409
21	0.3133912322
22	0.3132967787
23	0.3132689476
24	0.3132611831
25	0.3131034742
26	0.3130120787
27	0.3129659632
28	0.3128980027
29	0.3128422821
30	0.3128341556
31	0.3127963358
32	0.3127407583
33	0.3125859385
34	0.3124120419
35	0.3121447202
36	0.3119004576
37	0.3118512147
38	0.3116449113
39	0.3115068541
40	0.31131534
41	0.3112294345
42	0.3110058966
43	0.3109091283
44	0.3108343717
45	0.3106850693
46	0.3104424225
47	0.3102426235
48	0.309841835
49	0.3096594772
50	0.3093871416
51	0.3093087905
52	0.3091296055
53	0.3089116674
54	0.3087264468
55	0.3085140781
56	0.3083049518
57	0.3081392666
58	0.3080687897
59	0.3079062209
60	0.3076893415
61	0.3076119657
62	0.3074711214
63	0.3072910466
64	0.3072527185
65	0.3070691572
66	0.3069758298
67	0.3068598326
68	0.3067286104
69	0.3066854046
70	0.3065485297
71	0.3063820356
72	0.3062765574
73	0.3060377921
74	0.3059707705
75	0.30584318
76	0.3056662494
77	0.3055401279
78	0.3053759563
79	0.3052213642
80	0.3050458599
81	0.3049861349
82	0.3047696726
83	0.3046841923
84	0.3046429687
85	0.3045480378
86	0.3043144951
87	0.3041157621
88	0.3039223023
89	0.303867036
90	0.3037624016
91	0.3036835666
92	0.3035453572
93	0.3035209964
94	0.3034027834
95	0.3033492157
96	0.3032086147
97	0.303190084
98	0.3030951688
99	0.3030163581
100	0.3028546265
101	0.3027849766
102	0.3026931298
103	0.3025776839
104	0.3025358661
105	0.3025174363
106	0.3023923055
107	0.3022906125
108	0.3022707252
109	0.3020816457
110	0.3019294993
111	0.3019219698
112	0.3018310655
113	0.3016091314
114	0.3014443506
115	0.3012562736
116	0.3011760335
117	0.3011164676
118	0.3010327971
119	0.3009987862
120	0.3008234452
121	0.3007916017
122	0.3006796273
123	0.3005119942
124	0.3004571625
125	0.3004279964
126	0.3002394719
127	0.3001338449
128	0.3000903788
129	0.2999447226
130	0.2997924896
131	0.2997857364
132	0.2997577985
133	0.2995983021
134	0.2995612723
135	0.2995334518
136	0.2995212998
137	0.29944433
138	0.2994343573
139	0.2993421738
140	0.2993185494
141	0.2992740937
142	0.2992191014
143	0.2990548754
144	0.2989602612
145	0.2988373376
146	0.2987989431
147	0.2986470817
148	0.2984988912
149	0.2984272695
150	0.298384265
151	0.2982334512
152	0.2981596381
153	0.2979856359
154	0.2979054508
155	0.2977942264
156	0.2977039138
157	0.297654992
158	0.2976244064
159	0.2976070465
160	0.2975231416
161	0.2973223362
162	0.2973158391
163	0.297283041
164	0.2971040405
165	0.297004323
166	0.2969913613
167	0.2968314347
168	0.2967996252
169	0.2966573445
170	0.2966553599
171	0.2965074425
172	0.296448218
173	0.2964264341
174	0.2963570216
175	0.2962931007
176	0.2961080763
177	0.2960571515
178	0.2960455999
179	0.2959816069
180	0.2959196302
181	0.2958868651
182	0.2957798902
183	0.2957729872
184	0.29574485
185	0.2955813554
186	0.2955733214
187	0.2954100486
188	0.2953752387
189	0.2953676787
190	0.295356049
191	0.2952332129
192	0.2951960389
193	0.2950774616
194	0.2948683432
195	0.2948372652
196	0.2946909347
197	0.2945734854
198	0.294395937
199	0.2943687374
200	0.2943518717
201	0.29433438
202	0.2942413257
203	0.2942244185
204	0.2942103983
205	0.2942096279
206	0.294176602
207	0.2941167212
208	0.2940326012
209	0.2939747626
210	0.2939550978
211	0.293917174
212	0.293872068
213	0.2938526708
214	0.2937504226
215	0.2936460889
216	0.2936335305
217	0.2936300895
218	0.2934623176
219	0.2934579411
220	0.2933388677
221	0.2932200566
222	0.2931038737
223	0.2930891947
224	0.2930472143
225	0.2930282044
226	0.2930153456
227	0.2929430682
228	0.292937237
229	0.2928115034
230	0.2928059073
231	0.2927721469
232	0.2927242194
233	0.2925980456
234	0.2925777811
235	0.2924955028
236	0.2924547524
237	0.2923930454
238	0.2923130625
239	0.2921669619
240	0.2920818896
241	0.2919706487
242	0.2919567221
243	0.2918248914
244	0.2918219978
245	0.2916386215
246	0.2916342016
247	0.2916257933
248	0.2916078411
249	0.2915324584
