iter	Passed	Remaining
0	221	55159
1	413	51216
2	573	47192
3	735	45211
4	845	41428
5	936	38073
6	995	34563
7	1071	32403
8	1147	30737
9	1308	31407
10	1394	30299
11	1561	30974
12	1714	31261
13	1845	31118
14	1925	30163
15	1985	29041
16	2054	28162
17	2121	27341
18	2203	26789
19	2285	26285
20	2354	25680
21	2488	25786
22	2570	25370
23	2658	25034
24	2746	24714
25	2883	24846
26	3000	24785
27	3082	24438
28	3185	24275
29	3297	24184
30	3368	23798
31	3466	23616
32	3563	23430
33	3669	23310
34	3834	23554
35	3997	23762
36	4239	24408
37	4377	24420
38	4532	24522
39	4684	24594
40	4846	24706
41	5003	24778
42	5160	24840
43	5304	24836
44	5465	24900
45	5625	24949
46	5780	24968
47	5950	25040
48	6123	25117
49	6291	25166
50	6483	25298
51	6655	25342
52	6826	25372
53	7001	25414
54	7190	25495
55	7356	25483
56	7525	25479
57	7680	25425
58	7891	25548
59	8046	25480
60	8211	25443
61	8379	25409
62	8574	25451
63	8755	25444
64	9021	25677
65	9195	25635
66	9372	25599
67	9585	25654
68	9757	25595
69	9938	25557
70	10100	25464
71	10294	25451
72	10469	25384
73	10659	25352
74	10979	25618
75	11182	25601
76	11357	25516
77	11548	25465
78	11748	25431
79	12007	25516
80	12203	25461
81	12389	25383
82	12608	25369
83	12808	25312
84	12979	25195
85	13158	25093
86	13374	25058
87	13565	24973
88	13744	24862
89	14018	24921
90	14224	24853
91	14411	24749
92	14563	24585
93	14734	24453
94	14907	24322
95	15068	24173
96	15231	24024
97	15401	23887
98	15563	23738
99	15719	23579
100	15916	23480
101	16082	23335
102	16256	23200
103	16416	23046
104	16650	22993
105	16853	22895
106	17083	22831
107	17275	22713
108	17499	22637
109	17670	22489
110	17878	22388
111	18066	22260
112	18255	22132
113	18462	22025
114	18638	21879
115	18828	21749
116	19097	21709
117	19249	21533
118	19414	21372
119	19576	21207
120	19764	21071
121	19951	20933
122	20114	20768
123	20275	20602
124	20486	20486
125	20679	20351
126	20858	20201
127	21067	20080
128	21261	19942
129	21439	19790
130	21629	19648
131	21888	19566
132	22098	19439
133	22262	19271
134	22426	19103
135	22587	18933
136	22783	18791
137	22936	18615
138	23081	18431
139	23239	18259
140	23406	18094
141	23569	17925
142	23756	17775
143	23927	17613
144	24089	17443
145	24241	17267
146	24448	17130
147	24605	16957
148	24760	16784
149	24925	16617
150	25098	16455
151	25260	16286
152	25462	16142
153	25641	15984
154	25803	15815
155	25958	15641
156	26201	15520
157	26366	15352
158	26525	15181
159	26695	15015
160	26866	14851
161	27022	14679
162	27279	14560
163	27468	14403
164	27629	14233
165	27792	14063
166	28004	13918
167	28156	13742
168	28325	13575
169	28483	13403
170	28666	13243
171	28825	13071
172	28989	12902
173	29160	12736
174	29370	12587
175	29545	12422
176	29715	12255
177	29867	12081
178	30132	11951
179	30301	11784
180	30458	11611
181	30624	11441
182	30805	11278
183	30969	11108
184	31134	10939
185	31298	10769
186	31487	10608
187	31646	10436
188	31807	10266
189	31966	10094
190	32161	9934
191	32325	9764
192	32508	9601
193	32663	9428
194	32904	9280
195	33073	9111
196	33241	8943
197	33398	8771
198	33576	8605
199	33742	8435
200	33905	8265
201	34071	8096
202	34298	7940
203	34474	7773
204	34649	7605
205	34820	7437
206	35028	7276
207	35195	7106
208	35374	6939
209	35590	6779
210	35783	6614
211	35956	6445
212	36171	6283
213	36358	6116
214	36518	5944
215	36674	5772
216	36922	5614
217	37101	5446
218	37264	5274
219	37422	5103
220	37661	4942
221	37847	4773
222	38019	4603
223	38182	4431
224	38375	4263
225	38535	4092
226	38695	3920
227	38854	3749
228	39030	3579
229	39190	3407
230	39378	3238
231	39537	3067
232	39695	2896
233	39871	2726
234	40044	2556
235	40204	2385
236	40414	2216
237	40576	2045
238	40768	1876
239	40938	1705
240	41099	1534
241	41317	1365
242	41507	1195
243	41686	1025
244	41888	854
245	42181	685
246	42398	514
247	42612	343
248	42799	171
249	42978	0
